,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
83,59,admin,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,yes
86,56,admin,married,secondary,no,45,no,no,unknown,5,may,1467,1,yes
87,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,yes
129,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,yes
168,54,admin,married,tertiary,no,184,no,no,unknown,5,may,673,2,yes
270,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,yes
388,56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,yes
390,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,yes
446,39,technician,single,unknown,no,45248,yes,no,unknown,6,may,1623,1,yes
457,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,yes
474,34,admin,married,secondary,no,869,no,no,unknown,6,may,1677,1,yes
512,55,unemployed,divorced,secondary,no,387,yes,no,unknown,6,may,918,1,yes
569,28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,yes
624,30,technician,married,secondary,no,484,yes,no,unknown,6,may,703,1,yes
694,36,technician,married,secondary,no,368,yes,yes,unknown,6,may,1597,2,yes
849,37,admin,single,secondary,no,245,yes,yes,unknown,7,may,732,2,yes
877,45,blue-collar,married,secondary,no,154,yes,no,unknown,7,may,1138,1,yes
891,53,services,divorced,primary,no,-291,yes,yes,unknown,7,may,591,1,yes
897,38,admin,single,secondary,no,100,yes,no,unknown,7,may,786,1,yes
1087,30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,yes
1124,29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,yes
1140,46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,yes
1172,31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,yes
1173,39,blue-collar,married,primary,no,70,no,no,unknown,8,may,813,1,yes
1193,35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,yes
1200,32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,yes
1247,49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,yes
1273,41,admin,married,secondary,no,55,yes,no,unknown,8,may,1120,2,yes
1340,49,admin,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,yes
1370,28,admin,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,yes
1372,43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,yes
1416,43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,yes
1462,43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,yes
1520,37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,yes
1646,35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,yes
1647,31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,3,yes
1671,46,technician,married,secondary,no,332,yes,no,unknown,9,may,772,1,yes
1674,43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,yes
1688,31,admin,married,secondary,no,307,yes,no,unknown,9,may,538,1,yes
1691,28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,yes
1767,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,yes
1795,60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,yes
1806,26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,yes
1832,40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,yes
1850,28,blue-collar,single,secondary,no,-197,yes,no,unknown,9,may,2016,2,yes
1863,33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,yes
2053,45,blue-collar,married,primary,no,101,yes,no,unknown,12,may,460,5,yes
2096,32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,yes
2328,35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,4,yes
2347,33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,yes
2377,38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,yes
2387,24,services,single,secondary,yes,-122,yes,no,unknown,13,may,1000,1,yes
2388,54,retired,divorced,tertiary,no,0,no,no,unknown,13,may,618,1,yes
2404,34,blue-collar,divorced,secondary,no,383,yes,no,unknown,13,may,2231,1,yes
2474,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,yes
2483,60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,1,yes
2485,48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,yes
2486,45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,yes
2507,36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,yes
2519,52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,yes
2545,37,entrepreneur,divorced,secondary,no,175,yes,yes,unknown,13,may,753,6,yes
2650,46,blue-collar,married,primary,no,369,yes,no,unknown,13,may,916,2,yes
2709,35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,yes
2720,43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,yes
2767,52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,yes
2779,53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,yes
2799,48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,yes
2821,41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,1,yes
2831,39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,yes
2845,59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,2,yes
2865,41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,yes
2870,48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,yes
2882,40,admin,married,secondary,no,1535,yes,no,unknown,14,may,704,1,yes
2897,48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,yes
2929,60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,yes
2955,40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,yes
2982,57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,yes
3004,51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,yes
3145,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,yes
3190,41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,4,yes
3193,46,admin,married,secondary,no,556,yes,yes,unknown,15,may,646,3,yes
3214,52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,yes
3225,43,self-employed,single,unknown,no,3173,no,no,unknown,15,may,746,1,yes
3294,59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,1,yes
3300,44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,yes
3314,49,admin,single,secondary,no,716,yes,no,unknown,15,may,1257,3,yes
3324,49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,yes
3331,50,entrepreneur,married,primary,no,461,yes,no,unknown,15,may,651,32,yes
3371,40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,yes
3378,41,admin,married,primary,no,-306,yes,no,unknown,15,may,500,1,yes
3454,44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,2,yes
3497,60,services,single,primary,no,313,yes,no,unknown,15,may,920,2,yes
3500,29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,2,yes
3509,41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,2,yes
3519,41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,yes
3548,42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,6,yes
3557,46,blue-collar,married,secondary,no,668,yes,no,unknown,15,may,1263,2,yes
3571,32,services,single,secondary,no,772,yes,no,unknown,15,may,697,3,yes
3677,36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,yes
