,age,job,marital,education,default,balance,housing,loan,month,duration,campaign,cluster
0,59,admin,married,secondary,no,2343,yes,no,may,1042,1,1
1,56,admin,married,secondary,no,45,no,no,may,1467,1,1
2,41,technician,married,secondary,no,1270,yes,no,may,1389,1,1
3,55,services,married,secondary,no,2476,yes,no,may,579,1,1
4,54,admin,married,tertiary,no,184,no,no,may,673,2,0
5,42,management,single,tertiary,no,0,yes,yes,may,562,2,0
6,56,management,married,tertiary,no,830,yes,yes,may,1201,1,0
7,60,retired,divorced,secondary,no,545,yes,no,may,1030,1,1
8,39,technician,single,unknown,no,45248,yes,no,may,1623,1,1
9,37,technician,married,secondary,no,1,yes,no,may,608,1,1
10,34,admin,married,secondary,no,869,no,no,may,1677,1,1
11,55,unemployed,divorced,secondary,no,387,yes,no,may,918,1,1
12,28,services,single,secondary,no,5090,yes,no,may,1297,3,1
13,30,technician,married,secondary,no,484,yes,no,may,703,1,1
14,36,technician,married,secondary,no,368,yes,yes,may,1597,2,1
15,37,admin,single,secondary,no,245,yes,yes,may,732,2,1
16,45,blue-collar,married,secondary,no,154,yes,no,may,1138,1,1
17,53,services,divorced,primary,no,-291,yes,yes,may,591,1,1
18,38,admin,single,secondary,no,100,yes,no,may,786,1,1
19,30,blue-collar,married,secondary,no,309,yes,no,may,1574,2,1
20,29,management,married,tertiary,no,199,yes,yes,may,1689,4,0
21,46,blue-collar,single,tertiary,no,460,yes,no,may,1102,2,0
22,31,technician,single,tertiary,no,703,yes,no,may,943,2,0
23,39,blue-collar,married,primary,no,70,no,no,may,813,1,1
24,35,management,divorced,tertiary,no,3837,yes,no,may,1084,1,0
25,32,blue-collar,single,primary,no,611,yes,no,may,541,3,1
26,49,services,married,secondary,no,-8,yes,no,may,1119,1,1
27,41,admin,married,secondary,no,55,yes,no,may,1120,2,1
28,49,admin,divorced,secondary,no,168,yes,yes,may,513,1,1
29,28,admin,divorced,secondary,no,785,yes,no,may,442,2,1
30,43,management,single,tertiary,no,2067,yes,no,may,756,1,0
31,43,management,divorced,tertiary,no,388,yes,no,may,2087,2,0
32,43,blue-collar,married,primary,no,-192,yes,no,may,1120,2,1
33,37,unemployed,single,secondary,no,381,yes,no,may,985,2,1
34,35,blue-collar,single,secondary,no,40,yes,no,may,617,4,1
35,31,technician,single,tertiary,no,22,yes,no,may,483,3,0
36,46,technician,married,secondary,no,332,yes,no,may,772,1,1
37,43,blue-collar,single,secondary,no,3,yes,no,may,929,3,1
38,31,admin,married,secondary,no,307,yes,no,may,538,1,1
39,28,blue-collar,single,secondary,no,759,yes,no,may,710,1,1
40,32,blue-collar,married,secondary,yes,-1,yes,no,may,653,1,1
41,60,technician,married,primary,no,65,yes,no,may,1028,2,1
42,26,blue-collar,single,secondary,no,82,yes,no,may,654,1,1
43,40,blue-collar,married,secondary,no,10,yes,no,may,1692,2,1
44,28,blue-collar,single,secondary,no,-197,yes,no,may,2016,2,1
45,33,blue-collar,divorced,primary,no,390,yes,no,may,665,2,1
46,45,blue-collar,married,primary,no,101,yes,no,may,460,5,1
47,32,management,single,tertiary,no,311,no,no,may,757,2,0
48,35,blue-collar,married,primary,no,414,no,no,may,504,4,1
49,33,management,divorced,secondary,no,5,yes,no,may,1346,1,1
50,38,management,married,tertiary,no,119,yes,no,may,568,4,0
51,24,services,single,secondary,yes,-122,yes,no,may,1000,1,1
52,54,retired,divorced,tertiary,no,0,no,no,may,618,1,0
53,34,blue-collar,divorced,secondary,no,383,yes,no,may,2231,1,1
54,23,entrepreneur,single,primary,no,4,yes,no,may,395,2,1
55,60,blue-collar,married,primary,no,1262,yes,yes,may,1015,1,1
56,48,management,married,tertiary,no,1949,yes,no,may,683,2,0
57,45,entrepreneur,divorced,tertiary,no,-395,yes,no,may,470,1,0
58,36,blue-collar,married,secondary,no,1165,yes,no,may,1001,4,1
59,52,management,married,unknown,no,2240,yes,no,may,845,1,1
60,37,entrepreneur,divorced,secondary,no,175,yes,yes,may,753,6,1
61,46,blue-collar,married,primary,no,369,yes,no,may,916,2,1
62,35,blue-collar,divorced,primary,no,300,yes,no,may,945,2,1
63,43,technician,married,secondary,no,3285,yes,no,may,1721,2,1
64,52,housemaid,married,secondary,no,3923,yes,no,may,942,3,1
65,53,technician,divorced,primary,no,1443,yes,no,may,476,1,1
66,48,blue-collar,divorced,primary,no,24,yes,no,may,832,1,1
67,41,blue-collar,single,primary,no,1618,yes,no,may,1553,1,1
68,39,management,divorced,tertiary,no,517,yes,yes,may,1328,1,0
69,59,retired,married,secondary,no,1521,yes,yes,may,1125,2,1
70,41,blue-collar,married,secondary,no,2823,yes,no,may,858,1,1
71,48,blue-collar,married,secondary,no,1405,yes,no,may,629,2,1
72,40,admin,married,secondary,no,1535,yes,no,may,704,1,1
73,48,blue-collar,married,secondary,no,1596,yes,no,may,760,1,1
74,60,retired,married,primary,no,1542,yes,no,may,930,1,1
75,40,technician,single,unknown,no,3652,yes,no,may,1028,2,1
76,57,technician,married,tertiary,no,-1,no,no,may,850,2,0
77,51,blue-collar,married,secondary,no,7180,yes,no,may,927,1,1
78,41,blue-collar,divorced,secondary,no,5291,yes,no,may,1423,3,1
79,41,blue-collar,married,secondary,no,1384,yes,no,may,1162,4,1
80,46,admin,married,secondary,no,556,yes,yes,may,646,3,1
81,52,blue-collar,divorced,primary,no,-191,yes,no,may,755,1,1
82,43,self-employed,single,unknown,no,3173,no,no,may,746,1,1
83,59,blue-collar,married,primary,no,320,yes,no,may,695,1,1
84,44,blue-collar,married,unknown,no,146,yes,no,may,483,1,1
85,49,admin,single,secondary,no,716,yes,no,may,1257,3,1
86,49,unknown,married,primary,no,341,yes,yes,may,520,2,1
87,40,services,married,primary,no,-9,yes,no,may,920,2,1
88,41,admin,married,primary,no,-306,yes,no,may,500,1,1
89,44,technician,married,tertiary,no,4580,yes,no,may,911,2,0
